task_index,repetition,strategy,models_used,internals
117,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0003/1088ms), voter:openai/gpt-oss-120b($0.0001/2145ms), voter:openai/gpt-oss-120b($0.0032/4647ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: verified_individual] [verified: override_to_voter/checker 3/3 by openai/gpt-oss-120b]"
118,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, mistralai/ministral-14b-instruct-2512] [decider: Qwen/Qwen3-8B] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:Qwen/Qwen3-8B($0.0002/7513ms), voter:mistralai/ministral-14b-instruct-2512($0.0078/56787ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → mistralai/ministral-14b-instruct-2512] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by Qwen/Qwen3-8B]"
118,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:openai/gpt-oss-120b($0.0001/466ms), voter:openai/gpt-oss-120b($0.0005/1817ms), voter:openai/gpt-oss-120b($0.0053/12127ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: verified_individual] [verified: override_to_voter/checker 3/3 by openai/gpt-oss-120b]"
119,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|mistralai/ministral-14b-instruct-2512,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, mistralai/ministral-14b-instruct-2512] [decider: Qwen/Qwen3-8B] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:Qwen/Qwen3-8B($0.0001/3453ms), voter:mistralai/ministral-14b-instruct-2512($0.0031/21507ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → mistralai/ministral-14b-instruct-2512] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by Qwen/Qwen3-8B]"
120,1,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|Qwen/Qwen3-32B,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, Qwen/Qwen3-32B] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:openai/gpt-oss-120b($0.0002/808ms), voter:Qwen/Qwen3-32B($0.0002/2148ms), voter:openai/gpt-oss-120b($0.0037/6058ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → Qwen/Qwen3-32B] [aggregation: verified_individual] [verified: override_to_voter/checker 2/3 by openai/gpt-oss-120b]"
121,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B] [decider: codestral-latest] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:codestral-latest($0.0003/2785ms), voter:Qwen/Qwen3-8B($0.0002/5126ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by codestral-latest]"
121,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0004/3507ms), voter:openai/gpt-oss-120b($0.0001/5355ms), voter:openai/gpt-oss-120b($0.0028/5502ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: verified_individual] [verified: override_to_voter/checker 3/3 by openai/gpt-oss-120b]"
122,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|Qwen/Qwen3-32B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, Qwen/Qwen3-32B] [decider: Qwen/Qwen3-32B] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0002/1336ms), voter:Qwen/Qwen3-32B($0.0002/2912ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → Qwen/Qwen3-32B] [aggregation: verified_individual] [verified: override_to_voter/checker 1/1 by Qwen/Qwen3-32B]"
123,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro] [decider: Qwen/Qwen3-8B] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:Qwen/Qwen3-8B($0.0002/5325ms), voter:deepseek-v4-pro($0.3820/7811ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by Qwen/Qwen3-8B]"
123,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|mistral-large-latest|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, mistral-large-latest, Qwen/Qwen3-8B] [decider: openai/gpt-oss-120b] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:openai/gpt-oss-120b($0.0003/1037ms), voter:mistral-large-latest($0.0029/4211ms), voter:Qwen/Qwen3-8B($0.0002/5663ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → mistral-large-latest → Qwen/Qwen3-8B] [aggregation: verified_individual] [verified: override_to_voter/checker 3/3 by openai/gpt-oss-120b]"
124,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: voter:phala/gpt-oss-120b($0.0000/1ms), voter:kimi-k2-0905-preview($0.0000/1ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), voter:openai/gpt-oss-120b($0.0001/649ms), voter:openai/gpt-oss-120b($0.0002/1026ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by openai/gpt-oss-120b]"
125,1,consensus,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro] [decider: Qwen/Qwen3-8B] [subcalls: voter:phala/gpt-oss-120b($0.0000/0ms), voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:Qwen/Qwen3-8B($0.0002/6135ms), voter:deepseek-v4-pro($0.3957/9360ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro] [aggregation: verified_individual] [verified: override_to_voter/checker 2/2 by Qwen/Qwen3-8B]"
125,2,consensus,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|qwen3-max-preview|Qwen/Qwen3-8B|mistral-large-latest,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, qwen3-max-preview, Qwen/Qwen3-8B, mistral-large-latest] [decider: qwen3-max-preview] [subcalls: voter:kimi-k2-0905-preview($0.0000/0ms), voter:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), voter:qwen3-max-preview($0.3488/7638ms), voter:Qwen/Qwen3-8B($0.0003/8177ms), voter:mistral-large-latest($0.0028/14754ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → qwen3-max-preview → Qwen/Qwen3-8B → mistral-large-latest] [aggregation: verified_individual] [verified: override_to_voter/checker 3/3 by qwen3-max-preview]"
68,1,debate,phala/gpt-oss-120b|Qwen/Qwen3-32B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, Qwen/Qwen3-32B] [decider: Qwen/Qwen3-32B] [subcalls: coordinator:phala/gpt-oss-120b($0.0000/0ms), secondary:Qwen/Qwen3-32B($0.0004/7600ms)] [source: explicit] [chain: phala/gpt-oss-120b → Qwen/Qwen3-32B]"
68,1,debate,phala/gpt-oss-120b|Qwen/Qwen3-32B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, Qwen/Qwen3-32B] [decider: Qwen/Qwen3-32B] [subcalls: coordinator:phala/gpt-oss-120b($0.0000/0ms), secondary:Qwen/Qwen3-32B($0.0005/5334ms)] [source: explicit] [chain: phala/gpt-oss-120b → Qwen/Qwen3-32B]"
68,1,debate,phala/gpt-oss-120b|Qwen/Qwen3-32B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, Qwen/Qwen3-32B] [decider: Qwen/Qwen3-32B] [subcalls: coordinator:phala/gpt-oss-120b($0.0000/0ms), secondary:Qwen/Qwen3-32B($0.0005/7571ms)] [source: explicit] [chain: phala/gpt-oss-120b → Qwen/Qwen3-32B]"
68,2,debate,openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: primary:openai/gpt-oss-120b($0.0004/1822ms), primary:openai/gpt-oss-120b($0.0002/858ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: openai/gpt-oss-120b → kimi-k2-0905-preview]"
68,2,debate,Qwen/Qwen3-8B|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: Qwen/Qwen3-8B, kimi-k2-0905-preview] [decider: Qwen/Qwen3-8B] [subcalls: primary:Qwen/Qwen3-8B($0.0003/9298ms), primary:Qwen/Qwen3-8B($0.0003/6039ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: Qwen/Qwen3-8B → kimi-k2-0905-preview]"
68,2,debate,qwen3-max-preview|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: qwen3-max-preview, kimi-k2-0905-preview] [decider: qwen3-max-preview] [subcalls: primary:qwen3-max-preview($0.7935/23603ms), primary:qwen3-max-preview($1.0375/19297ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: qwen3-max-preview → kimi-k2-0905-preview]"
107,1,debate,mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: primary:mistralai/ministral-14b-instruct-2512($0.0063/16678ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
107,1,debate,mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: primary:mistralai/ministral-14b-instruct-2512($0.0063/12076ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
107,1,debate,mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: mistralai/ministral-14b-instruct-2512] [subcalls: primary:mistralai/ministral-14b-instruct-2512($0.0063/11960ms), coordinator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
107,2,debate,mistralai/mistral-large-3-675b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: mistralai/mistral-large-3-675b-instruct-2512, kimi-k2-0905-preview] [decider: mistralai/mistral-large-3-675b-instruct-2512] [subcalls: primary:mistralai/mistral-large-3-675b-instruct-2512($0.0208/13926ms), primary:mistralai/mistral-large-3-675b-instruct-2512($0.0188/8087ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: mistralai/mistral-large-3-675b-instruct-2512 → kimi-k2-0905-preview]"
107,2,debate,mistralai/mistral-large-3-675b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: mistralai/mistral-large-3-675b-instruct-2512, kimi-k2-0905-preview] [decider: mistralai/mistral-large-3-675b-instruct-2512] [subcalls: primary:mistralai/mistral-large-3-675b-instruct-2512($0.0126/7732ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: mistralai/mistral-large-3-675b-instruct-2512 → kimi-k2-0905-preview]"
107,2,debate,codestral-latest|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: codestral-latest, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: primary:codestral-latest($0.0008/8494ms), primary:codestral-latest($0.0009/6249ms), coordinator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: codestral-latest → kimi-k2-0905-preview]"
74,1,double-diamond,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|deepseek-v4-pro|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, deepseek-v4-pro, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: discoverer:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), discoverer:codestral-latest($0.0008/8899ms), discoverer:deepseek-v4-pro($1.8140/55016ms), definer:kimi-k2-0905-preview($0.0000/0ms), ideator:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), ideator:codestral-latest($0.0004/5802ms), ideator:deepseek-v4-pro($0.2003/6995ms), synthesizer:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → deepseek-v4-pro → kimi-k2-0905-preview]"
74,1,double-diamond,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|deepseek-v4-pro|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, deepseek-v4-pro, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: discoverer:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), discoverer:codestral-latest($0.0011/11259ms), discoverer:deepseek-v4-pro($2.0020/58918ms), definer:kimi-k2-0905-preview($0.0000/0ms), ideator:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), ideator:codestral-latest($0.0006/7473ms), ideator:deepseek-v4-pro($0.6322/19285ms), synthesizer:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → deepseek-v4-pro → kimi-k2-0905-preview]"
74,1,double-diamond,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|deepseek-v4-pro|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, deepseek-v4-pro, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: discoverer:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), discoverer:codestral-latest($0.0009/9805ms), discoverer:deepseek-v4-pro($2.0410/59403ms), definer:kimi-k2-0905-preview($0.0000/0ms), ideator:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), ideator:codestral-latest($0.0005/6741ms), ideator:deepseek-v4-pro($0.2447/8177ms), synthesizer:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → deepseek-v4-pro → kimi-k2-0905-preview]"
74,2,double-diamond,hf:Qwen/Qwen3.5-397B-A17B|qwen3-max-preview|mistral-large-latest|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, qwen3-max-preview, mistral-large-latest, kimi-k2-0905-preview] [decider: qwen3-max-preview] [subcalls: discoverer:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), discoverer:qwen3-max-preview($1.0780/34846ms), discoverer:mistral-large-latest($0.0286/101137ms), definer:kimi-k2-0905-preview($0.0000/0ms), ideator:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), ideator:mistral-large-latest($0.0060/17452ms), ideator:qwen3-max-preview($0.5910/24672ms), synthesizer:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → qwen3-max-preview → mistral-large-latest → kimi-k2-0905-preview]"
74,2,double-diamond,hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|qwen3-max-preview|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, qwen3-max-preview, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: discoverer:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), discoverer:openai/gpt-oss-120b($0.0007/4192ms), discoverer:qwen3-max-preview($1.3885/51161ms), definer:kimi-k2-0905-preview($0.0000/0ms), ideator:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), ideator:openai/gpt-oss-120b($0.0001/1149ms), ideator:qwen3-max-preview($0.5635/24683ms), synthesizer:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → qwen3-max-preview → kimi-k2-0905-preview]"
74,2,double-diamond,hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|mistral-large-latest|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, mistral-large-latest, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: discoverer:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), discoverer:openai/gpt-oss-120b($0.0007/3277ms), discoverer:mistral-large-latest($0.0185/44885ms), definer:kimi-k2-0905-preview($0.0000/0ms), ideator:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), ideator:openai/gpt-oss-120b($0.0003/1839ms), ideator:mistral-large-latest($0.0000/25010ms), synthesizer:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → mistral-large-latest → kimi-k2-0905-preview]"
0,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro] [decider: deepseek-v4-pro] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:deepseek-v4-pro($0.9567/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro]"
0,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, deepseek-v4-pro] [decider: deepseek-v4-pro] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:openai/gpt-oss-120b($0.0002/0ms), coordinator:deepseek-v4-pro($1.0668/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → deepseek-v4-pro]"
1,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0008/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:Qwen/Qwen3-8B($0.0008/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B]"
1,2,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:mistral-large-latest($0.0068/0ms), coordinator:Qwen/Qwen3-8B($0.0005/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → Qwen/Qwen3-8B]"
2,1,expert-panel,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|Qwen/Qwen3-8B,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, Qwen/Qwen3-8B] [decider: Qwen/Qwen3-8B] [subcalls: expert-analysis:kimi-k2-0905-preview($0.0000/0ms), expert-synthesis:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), expert-verification:codestral-latest($0.0008/0ms), coordinator:Qwen/Qwen3-8B($0.0007/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → Qwen/Qwen3-8B]"
2,2,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:openai/gpt-oss-120b($0.0009/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b]"
6,1,expert-panel,phala/gpt-oss-120b|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro,"[cost:provider_reported,confidence:high] [models: phala/gpt-oss-120b, kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro] [decider: deepseek-v4-pro] [subcalls: expert-analysis:phala/gpt-oss-120b($0.0000/0ms), expert-synthesis:kimi-k2-0905-preview($0.0000/0ms), expert-verification:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), coordinator:deepseek-v4-pro($0.8877/0ms)] [source: explicit] [chain: phala/gpt-oss-120b → kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro]"
